well,chem,0
03N23W05A01S,BORON,7.0
03N23W05A01S,CHLORIDE,8.0
03N23W05A01S,NITRATE (AS N),8.0
03N23W05A01S,NITRATE (AS NO3),8.0
03N23W05A01S,SULFATE,8.0
03N23W05A01S,TOTAL DISSOLVED SOLIDS,8.0
03N23W05B01S,BORON,2.0
03N23W05B01S,CHLORIDE,3.0
03N23W05B01S,NITRATE (AS N),6.0
03N23W05B01S,NITRATE (AS NO3),6.0
03N23W05B01S,SULFATE,3.0
03N23W05B01S,TOTAL DISSOLVED SOLIDS,8.0
03N23W05H01S,BORON,22.0
03N23W05H01S,CHLORIDE,21.0
03N23W05H01S,NITRATE (AS N),22.0
03N23W05H01S,NITRATE (AS NO3),22.0
03N23W05H01S,SULFATE,21.0
03N23W05H01S,TOTAL DISSOLVED SOLIDS,10.0
03N23W05K01S,BORON,6.0
03N23W05K01S,CHLORIDE,8.0
03N23W05K01S,NITRATE (AS N),9.0
03N23W05K01S,NITRATE (AS NO3),9.0
03N23W05K01S,SULFATE,8.0
03N23W05K01S,TOTAL DISSOLVED SOLIDS,9.0
03N23W05K02S,CHLORIDE,1.0
03N23W05K02S,NITRATE (AS N),1.0
03N23W05K02S,NITRATE (AS NO3),1.0
03N23W05K02S,SULFATE,1.0
03N23W05K02S,TOTAL DISSOLVED SOLIDS,1.0
03N23W05P02S,BORON,103.0
03N23W05P02S,CHLORIDE,155.0
03N23W05P02S,NITRATE (AS N),154.0
03N23W05P02S,NITRATE (AS NO3),154.0
03N23W05P02S,SULFATE,155.0
03N23W05P02S,TOTAL DISSOLVED SOLIDS,164.0
03N23W08B01S,BORON,120.0
03N23W08B01S,CHLORIDE,186.0
03N23W08B01S,NITRATE (AS N),186.0
03N23W08B01S,NITRATE (AS NO3),186.0
03N23W08B01S,SULFATE,185.0
03N23W08B01S,TOTAL DISSOLVED SOLIDS,185.0
03N23W08B02S,BORON,166.0
03N23W08B02S,CHLORIDE,148.0
03N23W08B02S,NITRATE (AS N),88.0
03N23W08B02S,NITRATE (AS NO3),88.0
03N23W08B02S,SULFATE,154.0
03N23W08B02S,TOTAL DISSOLVED SOLIDS,86.0
03N23W08B03S,BORON,1.0
03N23W08B03S,CHLORIDE,1.0
03N23W08B03S,NITRATE (AS N),1.0
03N23W08B03S,NITRATE (AS NO3),1.0
03N23W08B03S,SULFATE,1.0
03N23W08B03S,TOTAL DISSOLVED SOLIDS,1.0
03N23W08B05S,BORON,43.0
03N23W08B05S,CHLORIDE,46.0
03N23W08B05S,NITRATE (AS N),54.0
03N23W08B05S,NITRATE (AS NO3),54.0
03N23W08B05S,SULFATE,55.0
03N23W08B05S,TOTAL DISSOLVED SOLIDS,57.0
03N23W08B11S,BORON,160.0
03N23W08B11S,CHLORIDE,162.0
03N23W08B11S,NITRATE (AS N),82.0
03N23W08B11S,NITRATE (AS NO3),82.0
03N23W08B11S,SULFATE,162.0
03N23W08B11S,TOTAL DISSOLVED SOLIDS,82.0
03N23W08C02S,BORON,382.0
03N23W08C02S,CHLORIDE,368.0
03N23W08C02S,NITRATE (AS N),212.0
03N23W08C02S,NITRATE (AS NO3),212.0
03N23W08C02S,SULFATE,381.0
03N23W08C02S,TOTAL DISSOLVED SOLIDS,210.0
03N23W08C03S,BORON,1.0
03N23W08C03S,CHLORIDE,1.0
03N23W08C03S,NITRATE (AS N),1.0
03N23W08C03S,NITRATE (AS NO3),1.0
03N23W08C03S,SULFATE,1.0
03N23W08C03S,TOTAL DISSOLVED SOLIDS,1.0
03N23W_Ventura_NYE_01,BORON,54.0
03N23W_Ventura_NYE_01,CHLORIDE,62.0
03N23W_Ventura_NYE_01,NITRATE (AS N),63.0
03N23W_Ventura_NYE_01,NITRATE (AS NO3),63.0
03N23W_Ventura_NYE_01,SULFATE,62.0
03N23W_Ventura_NYE_01,TOTAL DISSOLVED SOLIDS,62.0
03N23W_Ventura_NYE_01A,BORON,32.0
03N23W_Ventura_NYE_01A,CHLORIDE,29.0
03N23W_Ventura_NYE_01A,NITRATE (AS N),29.0
03N23W_Ventura_NYE_01A,NITRATE (AS NO3),29.0
03N23W_Ventura_NYE_01A,SULFATE,29.0
03N23W_Ventura_NYE_01A,TOTAL DISSOLVED SOLIDS,29.0
03N23W_Ventura_NYE_05,BORON,1.0
03N23W_Ventura_NYE_05,CHLORIDE,1.0
03N23W_Ventura_NYE_05,NITRATE (AS N),1.0
03N23W_Ventura_NYE_05,NITRATE (AS NO3),1.0
03N23W_Ventura_NYE_05,SULFATE,1.0
03N23W_Ventura_NYE_05,TOTAL DISSOLVED SOLIDS,1.0
04N23W03D01S,BORON,1.0
04N23W03D01S,CHLORIDE,1.0
04N23W03D01S,NITRATE (AS N),1.0
04N23W03D01S,NITRATE (AS NO3),1.0
04N23W03D01S,SULFATE,1.0
04N23W03D01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W03M01S,BORON,3.0
04N23W03M01S,CHLORIDE,3.0
04N23W03M01S,NITRATE (AS N),7.0
04N23W03M01S,NITRATE (AS NO3),7.0
04N23W03M01S,SULFATE,3.0
04N23W03M01S,TOTAL DISSOLVED SOLIDS,7.0
04N23W04H01S,BORON,6.0
04N23W04H01S,CHLORIDE,6.0
04N23W04H01S,NITRATE (AS N),7.0
04N23W04H01S,NITRATE (AS NO3),7.0
04N23W04H01S,SULFATE,6.0
04N23W04H01S,TOTAL DISSOLVED SOLIDS,7.0
04N23W04J01S,BORON,6.0
04N23W04J01S,CHLORIDE,6.0
04N23W04J01S,NITRATE (AS N),45.0
04N23W04J01S,NITRATE (AS NO3),45.0
04N23W04J01S,SULFATE,6.0
04N23W04J01S,TOTAL DISSOLVED SOLIDS,3.0
04N23W09B01S,BORON,3.0
04N23W09B01S,CHLORIDE,3.0
04N23W09B01S,NITRATE (AS N),4.0
04N23W09B01S,NITRATE (AS NO3),4.0
04N23W09B01S,SULFATE,3.0
04N23W09B01S,TOTAL DISSOLVED SOLIDS,5.0
04N23W09B03S,BORON,7.0
04N23W09B03S,CHLORIDE,11.0
04N23W09B03S,NITRATE (AS N),31.0
04N23W09B03S,NITRATE (AS NO3),31.0
04N23W09B03S,SULFATE,11.0
04N23W09B03S,TOTAL DISSOLVED SOLIDS,11.0
04N23W09B04S,BORON,12.0
04N23W09B04S,CHLORIDE,18.0
04N23W09B04S,NITRATE (AS N),39.0
04N23W09B04S,NITRATE (AS NO3),39.0
04N23W09B04S,SULFATE,18.0
04N23W09B04S,TOTAL DISSOLVED SOLIDS,9.0
04N23W09B05S,BORON,11.0
04N23W09B05S,CHLORIDE,23.0
04N23W09B05S,NITRATE (AS N),41.0
04N23W09B05S,NITRATE (AS NO3),41.0
04N23W09B05S,SULFATE,22.0
04N23W09B05S,TOTAL DISSOLVED SOLIDS,25.0
04N23W09G01S,CHLORIDE,1.0
04N23W09G01S,NITRATE (AS N),2.0
04N23W09G01S,NITRATE (AS NO3),2.0
04N23W09G01S,TOTAL DISSOLVED SOLIDS,2.0
04N23W09G03S,BORON,7.0
04N23W09G03S,CHLORIDE,7.0
04N23W09G03S,NITRATE (AS N),9.0
04N23W09G03S,NITRATE (AS NO3),9.0
04N23W09G03S,SULFATE,7.0
04N23W09G03S,TOTAL DISSOLVED SOLIDS,9.0
04N23W10J01S,BORON,10.0
04N23W10J01S,CHLORIDE,13.0
04N23W10J01S,NITRATE (AS N),29.0
04N23W10J01S,NITRATE (AS NO3),29.0
04N23W10J01S,SULFATE,13.0
04N23W10J01S,TOTAL DISSOLVED SOLIDS,16.0
04N23W11D01S,BORON,1.0
04N23W11D01S,CHLORIDE,2.0
04N23W11D01S,NITRATE (AS N),2.0
04N23W11D01S,NITRATE (AS NO3),2.0
04N23W11D01S,SULFATE,2.0
04N23W11D01S,TOTAL DISSOLVED SOLIDS,2.0
04N23W15A01S,CHLORIDE,1.0
04N23W15A01S,NITRATE (AS N),1.0
04N23W15A01S,NITRATE (AS NO3),1.0
04N23W15A01S,SULFATE,1.0
04N23W15A01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W15A02S,BORON,7.0
04N23W15A02S,CHLORIDE,8.0
04N23W15A02S,NITRATE (AS N),13.0
04N23W15A02S,NITRATE (AS NO3),13.0
04N23W15A02S,SULFATE,7.0
04N23W15A02S,TOTAL DISSOLVED SOLIDS,19.0
04N23W15B01S,BORON,9.0
04N23W15B01S,CHLORIDE,17.0
04N23W15B01S,NITRATE (AS N),25.0
04N23W15B01S,NITRATE (AS NO3),25.0
04N23W15B01S,SULFATE,17.0
04N23W15B01S,TOTAL DISSOLVED SOLIDS,9.0
04N23W15B0XS,BORON,1.0
04N23W15B0XS,CHLORIDE,1.0
04N23W15B0XS,NITRATE (AS N),1.0
04N23W15B0XS,NITRATE (AS NO3),1.0
04N23W15B0XS,SULFATE,1.0
04N23W15B0XS,TOTAL DISSOLVED SOLIDS,1.0
04N23W15D01S,NITRATE (AS N),3.0
04N23W15D01S,NITRATE (AS NO3),3.0
04N23W15D01S,TOTAL DISSOLVED SOLIDS,2.0
04N23W16A01S,BORON,20.0
04N23W16A01S,CHLORIDE,23.0
04N23W16A01S,NITRATE (AS N),161.0
04N23W16A01S,NITRATE (AS NO3),161.0
04N23W16A01S,SULFATE,23.0
04N23W16A01S,TOTAL DISSOLVED SOLIDS,10.0
04N23W16B05S,BORON,2.0
04N23W16B05S,CHLORIDE,2.0
04N23W16B05S,NITRATE (AS N),1.0
04N23W16B05S,NITRATE (AS NO3),1.0
04N23W16B05S,SULFATE,2.0
04N23W16B05S,TOTAL DISSOLVED SOLIDS,1.0
04N23W16B06S,BORON,1.0
04N23W16B06S,CHLORIDE,1.0
04N23W16B06S,NITRATE (AS N),2.0
04N23W16B06S,NITRATE (AS NO3),2.0
04N23W16B06S,SULFATE,1.0
04N23W16B06S,TOTAL DISSOLVED SOLIDS,1.0
04N23W16B07S,BORON,15.0
04N23W16B07S,CHLORIDE,17.0
04N23W16B07S,NITRATE (AS N),956.0
04N23W16B07S,NITRATE (AS NO3),956.0
04N23W16B07S,SULFATE,17.0
04N23W16B07S,TOTAL DISSOLVED SOLIDS,8.0
04N23W16C01S,BORON,1.0
04N23W16C01S,CHLORIDE,1.0
04N23W16C01S,NITRATE (AS N),1.0
04N23W16C01S,NITRATE (AS NO3),1.0
04N23W16C01S,SULFATE,1.0
04N23W16C01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W16C06S,BORON,1.0
04N23W16C06S,CHLORIDE,2.0
04N23W16C06S,NITRATE (AS N),4.0
04N23W16C06S,NITRATE (AS NO3),4.0
04N23W16C06S,SULFATE,1.0
04N23W16C06S,TOTAL DISSOLVED SOLIDS,4.0
04N23W16C07S,BORON,13.0
04N23W16C07S,CHLORIDE,30.0
04N23W16C07S,NITRATE (AS N),46.0
04N23W16C07S,NITRATE (AS NO3),46.0
04N23W16C07S,SULFATE,29.0
04N23W16C07S,TOTAL DISSOLVED SOLIDS,11.0
04N23W16C08S,BORON,15.0
04N23W16C08S,CHLORIDE,22.0
04N23W16C08S,NITRATE (AS N),126.0
04N23W16C08S,NITRATE (AS NO3),126.0
04N23W16C08S,SULFATE,23.0
04N23W16C08S,TOTAL DISSOLVED SOLIDS,13.0
04N23W16C10S,BORON,6.0
04N23W16C10S,CHLORIDE,6.0
04N23W16C10S,NITRATE (AS N),27.0
04N23W16C10S,NITRATE (AS NO3),27.0
04N23W16C10S,SULFATE,6.0
04N23W16C10S,TOTAL DISSOLVED SOLIDS,4.0
04N23W16C11S,BORON,2.0
04N23W16C11S,CHLORIDE,2.0
04N23W16C11S,NITRATE (AS N),12.0
04N23W16C11S,NITRATE (AS NO3),12.0
04N23W16C11S,SULFATE,2.0
04N23W16C11S,TOTAL DISSOLVED SOLIDS,1.0
04N23W16F03S,BORON,5.0
04N23W16F03S,CHLORIDE,15.0
04N23W16F03S,NITRATE (AS N),25.0
04N23W16F03S,NITRATE (AS NO3),25.0
04N23W16F03S,SULFATE,14.0
04N23W16F03S,TOTAL DISSOLVED SOLIDS,19.0
04N23W16F04S,BORON,11.0
04N23W16F04S,CHLORIDE,19.0
04N23W16F04S,NITRATE (AS N),58.0
04N23W16F04S,NITRATE (AS NO3),58.0
04N23W16F04S,SULFATE,19.0
04N23W16F04S,TOTAL DISSOLVED SOLIDS,7.0
04N23W16F05S,BORON,1.0
04N23W16F05S,CHLORIDE,1.0
04N23W16F05S,NITRATE (AS N),1.0
04N23W16F05S,NITRATE (AS NO3),1.0
04N23W16F05S,SULFATE,1.0
04N23W16F05S,TOTAL DISSOLVED SOLIDS,1.0
04N23W16G03S,BORON,1.0
04N23W16G03S,CHLORIDE,2.0
04N23W16G03S,NITRATE (AS N),2.0
04N23W16G03S,NITRATE (AS NO3),2.0
04N23W16G03S,SULFATE,2.0
04N23W16G03S,TOTAL DISSOLVED SOLIDS,2.0
04N23W17L01S,BORON,1.0
04N23W17L01S,CHLORIDE,1.0
04N23W17L01S,SULFATE,1.0
04N23W17L01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W20A01S,BORON,9.0
04N23W20A01S,CHLORIDE,15.0
04N23W20A01S,NITRATE (AS N),15.0
04N23W20A01S,NITRATE (AS NO3),15.0
04N23W20A01S,SULFATE,16.0
04N23W20A01S,TOTAL DISSOLVED SOLIDS,17.0
04N23W20J02S,BORON,1.0
04N23W20J02S,CHLORIDE,1.0
04N23W20J02S,NITRATE (AS N),4.0
04N23W20J02S,NITRATE (AS NO3),4.0
04N23W20J02S,SULFATE,1.0
04N23W20J02S,TOTAL DISSOLVED SOLIDS,5.0
04N23W20Q02S,BORON,2.0
04N23W20Q02S,CHLORIDE,9.0
04N23W20Q02S,NITRATE (AS N),9.0
04N23W20Q02S,NITRATE (AS NO3),9.0
04N23W20Q02S,SULFATE,9.0
04N23W20Q02S,TOTAL DISSOLVED SOLIDS,10.0
04N23W20R01S,BORON,1.0
04N23W20R01S,CHLORIDE,1.0
04N23W20R01S,NITRATE (AS N),1.0
04N23W20R01S,NITRATE (AS NO3),1.0
04N23W20R01S,SULFATE,1.0
04N23W20R01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W29C01S,BORON,2.0
04N23W29C01S,CHLORIDE,2.0
04N23W29C01S,NITRATE (AS N),3.0
04N23W29C01S,NITRATE (AS NO3),3.0
04N23W29C01S,SULFATE,3.0
04N23W29C01S,TOTAL DISSOLVED SOLIDS,3.0
04N23W29C02S,BORON,1.0
04N23W29C02S,CHLORIDE,1.0
04N23W29C02S,NITRATE (AS N),1.0
04N23W29C02S,NITRATE (AS NO3),1.0
04N23W29C02S,SULFATE,1.0
04N23W29C02S,TOTAL DISSOLVED SOLIDS,1.0
04N23W29F01S,CHLORIDE,1.0
04N23W29F01S,NITRATE (AS N),1.0
04N23W29F01S,NITRATE (AS NO3),1.0
04N23W29F01S,TOTAL DISSOLVED SOLIDS,1.0
04N23W29F02S,BORON,4.0
04N23W29F02S,CHLORIDE,12.0
04N23W29F02S,NITRATE (AS N),18.0
04N23W29F02S,NITRATE (AS NO3),18.0
04N23W29F02S,SULFATE,14.0
04N23W29F02S,TOTAL DISSOLVED SOLIDS,22.0
04N23W32C02S,BORON,2.0
04N23W32C02S,CHLORIDE,5.0
04N23W32C02S,NITRATE (AS N),6.0
04N23W32C02S,NITRATE (AS NO3),6.0
04N23W32C02S,SULFATE,4.0
04N23W32C02S,TOTAL DISSOLVED SOLIDS,6.0
04N23W32K01S,BORON,1.0
04N23W32K01S,CHLORIDE,1.0
04N23W32K01S,NITRATE (AS N),1.0
04N23W32K01S,NITRATE (AS NO3),1.0
04N23W32K01S,SULFATE,1.0
04N23W32K01S,TOTAL DISSOLVED SOLIDS,1.0
05N23W33B02S,BORON,6.0
05N23W33B02S,CHLORIDE,9.0
05N23W33B02S,NITRATE (AS N),31.0
05N23W33B02S,NITRATE (AS NO3),31.0
05N23W33B02S,SULFATE,9.0
05N23W33B02S,TOTAL DISSOLVED SOLIDS,9.0
05N23W33B03S,BORON,12.0
05N23W33B03S,CHLORIDE,21.0
05N23W33B03S,NITRATE (AS N),32.0
05N23W33B03S,NITRATE (AS NO3),32.0
05N23W33B03S,SULFATE,21.0
05N23W33B03S,TOTAL DISSOLVED SOLIDS,10.0
05N23W33B04S,BORON,6.0
05N23W33B04S,CHLORIDE,11.0
05N23W33B04S,NITRATE (AS N),24.0
05N23W33B04S,NITRATE (AS NO3),24.0
05N23W33B04S,SULFATE,12.0
05N23W33B04S,TOTAL DISSOLVED SOLIDS,12.0
05N23W33C01S,BORON,1.0
05N23W33C01S,CHLORIDE,1.0
05N23W33C01S,NITRATE (AS N),1.0
05N23W33C01S,NITRATE (AS NO3),1.0
05N23W33C01S,SULFATE,1.0
05N23W33C01S,TOTAL DISSOLVED SOLIDS,1.0
05N23W33G01S,BORON,3.0
05N23W33G01S,CHLORIDE,3.0
05N23W33G01S,NITRATE (AS N),4.0
05N23W33G01S,NITRATE (AS NO3),4.0
05N23W33G01S,SULFATE,3.0
05N23W33G01S,TOTAL DISSOLVED SOLIDS,11.0
Ventura_Subsurface_Intake,BORON,169.0
Ventura_Subsurface_Intake,CHLORIDE,168.0
Ventura_Subsurface_Intake,NITRATE (AS N),167.0
Ventura_Subsurface_Intake,NITRATE (AS NO3),167.0
Ventura_Subsurface_Intake,SULFATE,167.0
Ventura_Subsurface_Intake,TOTAL DISSOLVED SOLIDS,167.0
